id, orig-N, orig-E, orig-time, basic-N, basic-E, basic-time, known-N, known-E, known-time, all_dom-N, all_dom-E, all_dom-time, fast_dom-N, fast_dom-E, fast_dom-time, dom1-N, dom1-E, dom1-time, dom2-N, dom2-E, dom2-time, dom3-N, dom3-E, dom3-time, dom4-N, dom4-E, dom4-time, dom5-N, dom5-E, dom5-time, dom_nca-N, dom_nca-E, dom_nca-time, dom_nca_full-N, dom_nca_full-E, dom_nca_full-time, dom_mixed-N, dom_mixed-E, dom_mixed-time, dom_mixed_full-N, dom_mixed_full-E, dom_mixed_full-time
h_158, 32768, 2614043, 0.00, 32691, 2612131, 0.12, 32682, 2610942, 1.50, 32680, 2610644, 18.34, 32680, 2610682, 23.77, 32680, 2610687, 26.49, 32680, 2610687, 29.14, 32682, 2610942, 30.93, 32682, 2610942, 32.75, 32680, 2610687, 41.09, 32682, 2610937, 44.42, 32682, 2610899, 51.07, 32682, 2610942, 52.60, 32682, 2610942, 54.63
h_159, 32768, 2621362, 0.00, 32677, 2619916, 0.11, 32670, 2618780, 1.99, 32670, 2618727, 16.32, 32670, 2618780, 19.51, 32670, 2618780, 21.62, 32670, 2618780, 23.79, 32670, 2618780, 26.30, 32670, 2618780, 28.53, 32670, 2618780, 33.36, 32670, 2618780, 35.97, 32670, 2618727, 43.05, 32670, 2618780, 45.09, 32670, 2618780, 47.79
h_160, 65536, 2593066, 0.00, 65536, 2593066, 0.11, 65536, 2470685, 1.72, 65136, 2440766, 15.17, 65136, 2440854, 23.90, 65149, 2442031, 29.11, 65137, 2441243, 34.43, 65488, 2467240, 37.48, 65488, 2467240, 40.43, 65137, 2441243, 47.14, 65536, 2470435, 49.42, 65536, 2470366, 51.68, 65536, 2470583, 54.11, 65536, 2470592, 56.81
h_161, 32768, 2684883, 0.00, 32768, 2684883, 0.12, 32768, 2684883, 2.98, 32768, 2684883, 44.05, 32768, 2684883, 48.72, 32768, 2684883, 51.57, 32768, 2684883, 54.42, 32768, 2684883, 57.36, 32768, 2684883, 60.36, 32768, 2684883, 85.29, 32768, 2684883, 89.51, 32768, 2684883, 104.56, 32768, 2684883, 107.47, 32768, 2684883, 111.86
h_162, 131072, 2587747, 0.00, 131072, 2587747, 0.17, 128, 1658, 1.19, 8, 16, 2.50, 8, 16, 3.73, 8, 16, 4.93, 8, 16, 6.17, 128, 1658, 7.24, 128, 1658, 8.35, 8, 16, 9.56, 128, 1658, 10.66, 128, 1658, 11.77, 128, 1658, 12.81, 128, 1658, 13.89
h_163, 32768, 2696696, 0.00, 32768, 2696696, 0.10, 32768, 2638149, 3.27, 32763, 2633282, 25.16, 32763, 2637097, 33.42, 32764, 2637643, 37.05, 32763, 2637491, 40.67, 32764, 2637611, 44.77, 32765, 2637763, 48.96, 32764, 2637643, 56.85, 32768, 2637765, 61.83, 32768, 2634148, 70.39, 32768, 2638138, 74.06, 32768, 2638147, 78.50
h_164, 131072, 2620644, 0.00, 130663, 2614061, 0.20, 128794, 2260493, 8.68, 112625, 1445560, 279.73, 113334, 1496912, 480.07, 120792, 1796496, 532.56, 116211, 1598006, 585.58, 119183, 1700316, 664.99, 120573, 1815693, 710.66, 113432, 1508089, 737.56, 128721, 2254502, 750.57, 128364, 2185860, 762.15, 128617, 2249722, 775.99, 128372, 2239140, 793.54
h_165, 131072, 2622100, 0.00, 130969, 2620941, 0.22, 130815, 2459629, 5.25, 130430, 2423079, 114.63, 130496, 2446320, 149.01, 130722, 2456403, 158.05, 130557, 2450221, 169.40, 130571, 2450482, 181.17, 130626, 2452935, 191.69, 130548, 2450289, 204.84, 130813, 2458024, 213.50, 130806, 2437383, 233.93, 130813, 2459455, 240.50, 130815, 2459527, 249.33
h_166, 65536, 2728370, 0.00, 57452, 2124246, 3.08, 57452, 2124246, 5.88, 57452, 2124246, 10.98, 57452, 2124246, 14.33, 57452, 2124246, 17.27, 57452, 2124246, 20.18, 57452, 2124246, 23.05, 57452, 2124246, 25.95, 57452, 2124246, 29.81, 57452, 2124246, 32.71, 57452, 2124246, 35.55, 57452, 2124246, 38.35, 57452, 2124246, 41.12
h_167, 65536, 2731506, 0.00, 57531, 2126614, 2.95, 57531, 2126614, 5.77, 57531, 2126614, 10.58, 57531, 2126614, 13.84, 57531, 2126614, 16.75, 57531, 2126614, 19.53, 57531, 2126614, 22.35, 57531, 2126614, 25.10, 57531, 2126614, 29.11, 57531, 2126614, 31.93, 57531, 2126614, 34.90, 57531, 2126614, 37.66, 57531, 2126614, 40.35
