id, orig-N, orig-E, orig-time, basic-N, basic-E, basic-time, known-N, known-E, known-time, all_dom-N, all_dom-E, all_dom-time, fast_dom-N, fast_dom-E, fast_dom-time, dom1-N, dom1-E, dom1-time, dom2-N, dom2-E, dom2-time, dom3-N, dom3-E, dom3-time, dom4-N, dom4-E, dom4-time, dom5-N, dom5-E, dom5-time, dom_nca-N, dom_nca-E, dom_nca-time, dom_nca_full-N, dom_nca_full-E, dom_nca_full-time, dom_mixed-N, dom_mixed-E, dom_mixed-time, dom_mixed_full-N, dom_mixed_full-E, dom_mixed_full-time
e_058, 8167, 27574, 0.00, 2858, 9112, 0.01, 265, 599, 0.02, 265, 599, 0.03, 265, 599, 0.03, 265, 599, 0.04, 265, 599, 0.05, 265, 599, 0.06, 265, 599, 0.07, 265, 599, 0.08, 265, 599, 0.09, 265, 599, 0.10, 265, 599, 0.11, 265, 599, 0.12
e_059, 722, 1124, 0.00, 104, 282, 0.00, 9, 24, 0.00, 8, 16, 0.00, 8, 16, 0.00, 8, 16, 0.00, 8, 16, 0.00, 8, 16, 0.00, 8, 16, 0.00, 8, 16, 0.00, 8, 16, 0.00, 8, 16, 0.00, 8, 16, 0.00, 8, 16, 0.00
e_060, 4052, 22629, 0.00, 2922, 17907, 0.00, 881, 4525, 0.02, 395, 1142, 0.05, 395, 1142, 0.08, 395, 1142, 0.11, 406, 1184, 0.14, 395, 1142, 0.18, 395, 1142, 0.21, 395, 1142, 0.24, 395, 1142, 0.28, 395, 1142, 0.31, 479, 1375, 0.34, 395, 1142, 0.38
e_061, 1724, 4320, 0.00, 273, 832, 0.00, 22, 66, 0.00, 18, 38, 0.00, 18, 38, 0.00, 18, 38, 0.00, 18, 38, 0.00, 18, 38, 0.00, 18, 38, 0.00, 18, 38, 0.00, 18, 38, 0.00, 18, 38, 0.00, 18, 38, 0.00, 18, 38, 0.00
e_062, 763, 1272, 0.00, 132, 372, 0.00, 17, 48, 0.00, 5, 10, 0.00, 5, 10, 0.00, 5, 10, 0.00, 5, 10, 0.00, 5, 10, 0.00, 5, 10, 0.00, 5, 10, 0.00, 5, 10, 0.00, 5, 10, 0.00, 5, 10, 0.00, 5, 10, 0.00
e_063, 4062, 23766, 0.00, 3197, 19562, 0.00, 925, 4864, 0.02, 400, 1058, 0.05, 400, 1058, 0.10, 400, 1058, 0.14, 405, 1068, 0.19, 400, 1058, 0.23, 400, 1058, 0.27, 400, 1058, 0.31, 400, 1058, 0.36, 400, 1058, 0.40, 467, 1233, 0.43, 400, 1058, 0.46
e_064, 1892, 6447, 0.00, 577, 2322, 0.00, 49, 172, 0.00, 16, 32, 0.00, 16, 32, 0.00, 16, 32, 0.01, 16, 32, 0.01, 16, 32, 0.01, 16, 32, 0.01, 16, 32, 0.01, 16, 32, 0.01, 16, 32, 0.01, 16, 32, 0.01, 16, 32, 0.01
e_065, 8089, 48759, 0.00, 4711, 28170, 0.01, 689, 3029, 0.04, 352, 928, 0.09, 352, 928, 0.13, 425, 1127, 0.16, 352, 928, 0.19, 352, 928, 0.23, 352, 928, 0.26, 352, 928, 0.30, 352, 928, 0.33, 352, 928, 0.36, 424, 1119, 0.40, 352, 928, 0.43
e_066, 8180, 29503, 0.00, 4007, 13675, 0.01, 394, 973, 0.01, 316, 711, 0.03, 316, 711, 0.04, 316, 711, 0.05, 316, 711, 0.06, 316, 711, 0.07, 316, 711, 0.08, 316, 711, 0.09, 316, 711, 0.10, 316, 711, 0.12, 316, 711, 0.13, 316, 711, 0.14
e_067, 1392, 4241, 0.00, 133, 330, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00, 0, 0, 0.00
