id, orig-N, orig-M, orig-time, basic-N, basic-M, basic-time, known-N, known-M, known-time, all_dom-N, all_dom-M, all_dom-time, fast_dom-N, fast_dom-M, fast_dom-time, dom12-N, dom12-M, dom12-time, dom3-N, dom3-M, dom3-time, dom4-N, dom4-M, dom4-time, dom5-N, dom5-M, dom5-time, dom_nca-N, dom_nca-M, dom_nca-time, dom_nca_full-N, dom_nca_full-M, dom_nca_full-time, dom_mixed-N, dom_mixed-M, dom_mixed-time, dom_mixed_full-N, dom_mixed_full-M, dom_mixed_full-time
h_181, 131072, 2950732, 0.00, 131059, 2950586, 0.18, 131013, 2696403, 3.77, 129763, 2633862, 46.69, 129772, 2638665, 72.67, 130136, 2909540, 76.67, 130122, 2908372, 81.68, 130002, 2903107, 84.96, 129772, 2894147, 93.04, 131059, 2950586, 93.25, 131059, 2716039, 95.01, 131059, 2950586, 95.25, 131059, 2950586, 95.54
h_182, 131072, 2951641, 0.00, 131058, 2951505, 0.23, 131007, 2697263, 3.39, 129717, 2633212, 44.21, 129721, 2637543, 73.69, 130086, 2908471, 79.74, 130090, 2907519, 85.06, 129972, 2902697, 89.58, 129731, 2893478, 97.62, 131058, 2951505, 97.91, 131055, 2716792, 99.33, 131058, 2951505, 99.53, 131058, 2951505, 99.74
h_183, 131072, 3115621, 0.00, 131072, 3115621, 0.16, 131029, 2963971, 1.59, 126958, 2771517, 17.92, 126958, 2771518, 31.77, 127206, 2930666, 39.08, 128736, 3002548, 43.10, 128729, 3002251, 46.88, 126962, 2920122, 54.82, 131072, 3115621, 55.02, 131072, 3011421, 56.35, 131072, 3115621, 56.54, 131072, 3115621, 56.78
h_184, 32768, 3221596, 0.00, 32768, 3221596, 0.14, 32768, 3221596, 3.55, 32768, 3221596, 51.63, 32768, 3221596, 57.39, 32768, 3221596, 57.72, 32768, 3221596, 58.20, 32768, 3221596, 58.62, 32768, 3221596, 83.93, 32768, 3221596, 84.15, 32768, 3221596, 97.40, 32768, 3221596, 97.58, 32768, 3221596, 97.80
h_185, 32768, 3222505, 0.00, 32768, 3222505, 0.23, 32768, 3222505, 4.18, 32768, 3222505, 48.94, 32768, 3222505, 53.74, 32768, 3222505, 54.13, 32768, 3222505, 54.58, 32768, 3222505, 55.05, 32768, 3222505, 80.15, 32768, 3222505, 80.30, 32768, 3222505, 93.65, 32768, 3222505, 93.87, 32768, 3222505, 94.02
h_186, 566326, 2770690, 0.00, 549251, 2745294, 1.27, 96919, 354849, 3.69, 96919, 354849, 23.53, 96919, 354849, 26.88, 549251, 2745294, 28.82, 131590, 540241, 3629.63, 549251, 2745294, 3731.23, 549251, 2745294, 3833.34, 549251, 2745294, 3834.27, 549073, 2742646, 4052.04, 549251, 2745294, 4053.20, 549251, 2745294, 4054.03
h_187, 131072, 3225441, 0.00, 131072, 3225441, 0.18, 516, 9108, 1.39, 9, 18, 3.53, 9, 18, 6.09, 9, 18, 14.55, 130627, 3106471, 63.61, 130815, 3203365, 67.81, 9, 18, 72.08, 131072, 3225441, 72.32, 131072, 3174507, 74.01, 131072, 3225441, 74.21, 131072, 3225441, 74.50
h_188, 262140, 3100200, 0.00, 163662, 1189436, 8.49, 163662, 1189436, 16.86, 163662, 1189436, 26.31, 163644, 1189340, 35.10, 163662, 1189436, 42.28, 163644, 1189340, 50.84, 163662, 1189436, 58.96, 163662, 1189436, 67.72, 163662, 1189436, 76.00, 163662, 1189436, 83.96, 163655, 1189392, 91.69, 163662, 1189436, 99.65
h_189, 262141, 3100310, 0.00, 163839, 1191914, 10.25, 163839, 1191914, 18.49, 163839, 1191914, 28.62, 163839, 1191914, 37.58, 163839, 1191914, 45.78, 163839, 1191914, 54.59, 163839, 1191914, 62.29, 163839, 1191914, 70.60, 163839, 1191914, 78.52, 163839, 1191914, 86.89, 163839, 1191914, 95.27, 163839, 1191914, 103.65
h_190, 131072, 3244452, 0.00, 131072, 3244452, 0.17, 3657, 86742, 4.93, 8, 16, 12.25, 8, 16, 20.65, 8, 20, 24.48, 130598, 3211698, 29.92, 130614, 3212100, 34.18, 8, 20, 36.66, 131072, 3244452, 36.84, 131072, 3237212, 37.73, 131072, 3244452, 37.91, 131072, 3244452, 38.09
