id, orig-N, orig-M, orig-time, basic-N, basic-M, basic-time, known-N, known-M, known-time, all_dom-N, all_dom-M, all_dom-time, fast_dom-N, fast_dom-M, fast_dom-time, dom12-N, dom12-M, dom12-time, dom3-N, dom3-M, dom3-time, dom4-N, dom4-M, dom4-time, dom5-N, dom5-M, dom5-time, dom_nca-N, dom_nca-M, dom_nca-time, dom_nca_full-N, dom_nca_full-M, dom_nca_full-time, dom_mixed-N, dom_mixed-M, dom_mixed-time, dom_mixed_full-N, dom_mixed_full-M, dom_mixed_full-time
e_165, 131072, 603932, 0.00, 56616, 196120, 0.67, 56411, 195288, 1.04, 56505, 195654, 1.69, 56524, 195752, 2.18, 56334, 194998, 2.86, 56472, 195544, 3.50, 56441, 195452, 3.92, 56281, 194734, 4.41, 56415, 195390, 4.82, 56480, 195602, 5.33, 56401, 195332, 5.86, 56514, 195724, 6.37
e_166, 65519, 583890, 0.00, 63962, 575286, 0.09, 56092, 438456, 1.46, 46416, 298453, 10.08, 46449, 298728, 16.54, 46558, 300550, 21.11, 55139, 423854, 23.42, 55138, 423838, 26.68, 46498, 299880, 30.04, 56092, 438442, 31.51, 56092, 438423, 32.68, 55991, 437141, 34.06, 55991, 437143, 35.62
e_167, 1024, 5487, 0.00, 563, 3546, 0.00, 563, 3527, 0.00, 563, 3526, 1.33, 563, 3527, 1.34, 563, 3527, 1.34, 563, 3527, 1.34, 563, 3527, 1.34, 563, 3527, 2.07, 563, 3527, 2.07, 563, 3526, 2.50, 563, 3527, 2.50, 563, 3527, 2.56
e_168, 65502, 550435, 0.00, 62564, 534652, 0.09, 52174, 374537, 1.41, 43439, 263785, 12.48, 43459, 264138, 20.25, 43718, 267154, 25.99, 50615, 353567, 28.50, 50596, 353446, 31.72, 43613, 266154, 35.01, 52160, 374342, 36.62, 52155, 374183, 38.56, 51797, 371056, 40.77, 51796, 371014, 42.68
e_169, 131072, 604300, 0.00, 55535, 191578, 0.58, 55190, 190254, 0.91, 55254, 190570, 1.60, 55203, 190366, 2.24, 55438, 191210, 2.77, 55090, 189880, 3.33, 55218, 190468, 3.73, 55483, 191362, 4.15, 55388, 191024, 4.56, 55355, 190882, 4.92, 55270, 190626, 5.44, 55328, 190770, 5.99
e_170, 131063, 573737, 0.00, 123213, 531438, 0.10, 48226, 172342, 1.36, 34282, 104389, 4.42, 34282, 104389, 6.63, 34282, 104389, 9.29, 48226, 172342, 10.75, 48226, 172342, 12.34, 34282, 104389, 14.88, 48226, 172342, 16.29, 48226, 172342, 18.04, 48226, 172342, 19.43, 48226, 172342, 21.21
e_171, 131072, 604042, 0.00, 54691, 187552, 0.53, 54440, 186640, 0.86, 54497, 186868, 1.43, 54487, 186884, 2.02, 54555, 187000, 2.60, 54523, 186938, 3.08, 54537, 186956, 3.45, 54380, 186390, 4.09, 54486, 186774, 4.50, 54452, 186690, 4.86, 54490, 186844, 5.21, 54473, 186716, 5.57
e_172, 4096, 67676, 0.00, 4091, 67650, 0.00, 4027, 63480, 0.03, 3540, 49143, 0.20, 3540, 49143, 0.35, 3540, 49150, 0.49, 4012, 63171, 0.54, 4012, 63171, 0.59, 3540, 49150, 0.72, 4027, 63480, 0.74, 4027, 63480, 0.79, 4020, 63389, 0.86, 4020, 63388, 0.93
e_173, 1024, 23175, 0.00, 1024, 23175, 0.00, 1017, 21012, 0.01, 992, 19959, 0.07, 992, 19980, 0.10, 992, 20005, 0.12, 1011, 20764, 0.14, 1011, 20764, 0.15, 992, 20005, 0.19, 1017, 20999, 0.20, 1017, 20983, 0.21, 1017, 20999, 0.23, 1017, 20999, 0.24
e_174, 1010, 2048, 0.00, 236, 868, 0.00, 235, 870, 0.00, 235, 870, 0.41, 235, 870, 0.41, 235, 870, 0.41, 235, 870, 0.41, 235, 870, 0.42, 235, 870, 0.61, 235, 870, 0.61, 235, 870, 0.65, 235, 870, 0.65, 235, 870, 0.89
e_175, 2043, 22520, 0.00, 1962, 22087, 0.00, 1839, 18320, 0.04, 1683, 14974, 0.63, 1705, 16147, 0.81, 1728, 16537, 0.91, 1760, 17132, 1.00, 1742, 16905, 1.12, 1698, 16076, 1.27, 1834, 18236, 1.33, 1795, 16797, 1.48, 1831, 18265, 1.53, 1815, 18042, 1.74
e_176, 4096, 66372, 0.00, 4096, 66372, 0.00, 4043, 62465, 0.02, 3617, 49798, 0.21, 3617, 49798, 0.47, 3617, 49807, 0.70, 4029, 62073, 0.76, 4029, 62073, 0.81, 3617, 49807, 0.93, 4043, 62465, 0.95, 4043, 62465, 0.98, 4043, 62455, 1.01, 4043, 62455, 1.04
e_177, 32766, 320320, 0.00, 15212, 78752, 0.29, 15212, 78752, 0.45, 15212, 78752, 0.69, 15212, 78752, 0.97, 15212, 78752, 1.24, 15212, 78752, 1.49, 15212, 78752, 1.75, 15212, 78752, 2.03, 15212, 78752, 2.29, 15212, 78752, 2.56, 15212, 78752, 2.81, 15212, 78752, 2.98
e_178, 4096, 66408, 0.00, 4096, 66408, 0.00, 4059, 62771, 0.03, 3562, 47917, 0.26, 3562, 47917, 0.49, 3562, 47925, 0.70, 4045, 62372, 0.81, 4045, 62372, 0.89, 3562, 47925, 1.05, 4059, 62771, 1.11, 4059, 62771, 1.16, 4059, 62763, 1.22, 4059, 62763, 1.28
e_179, 2048, 27346, 0.00, 2027, 27248, 0.00, 1976, 23241, 0.03, 1864, 20693, 0.14, 1864, 20699, 0.22, 1866, 20782, 0.32, 1943, 22456, 0.36, 1942, 22432, 0.41, 1865, 20758, 0.46, 1976, 23223, 0.49, 1976, 23209, 0.52, 1972, 23162, 0.55, 1972, 23163, 0.58
e_180, 32765, 320832, 0.00, 14949, 77906, 0.25, 14949, 77906, 0.41, 14949, 77906, 0.64, 14949, 77906, 0.90, 14949, 77906, 1.16, 14949, 77906, 1.36, 14949, 77906, 1.52, 14949, 77906, 1.70, 14949, 77906, 1.86, 14949, 77906, 2.02, 14949, 77906, 2.18, 14949, 77906, 2.34
e_181, 32767, 321088, 0.00, 15090, 78324, 0.25, 15090, 78324, 0.40, 15090, 78324, 0.63, 15090, 78324, 0.81, 15090, 78324, 0.96, 15085, 78298, 1.12, 15090, 78324, 1.27, 15090, 78324, 1.44, 15090, 78324, 1.61, 15090, 78324, 1.86, 15090, 78324, 2.10, 15090, 78324, 2.34
e_182, 1002, 2048, 0.00, 240, 877, 0.00, 240, 876, 0.00, 240, 876, 0.08, 240, 876, 0.08, 240, 876, 0.08, 240, 876, 0.08, 240, 876, 0.08, 240, 876, 0.11, 240, 876, 0.11, 240, 876, 0.12, 240, 876, 0.12, 240, 876, 0.16
e_183, 1024, 5471, 0.00, 549, 3678, 0.00, 548, 3650, 0.00, 548, 3636, 5.36, 548, 3650, 5.37, 548, 3650, 5.37, 548, 3650, 5.37, 548, 3650, 5.38, 548, 3650, 8.09, 548, 3650, 8.10, 548, 3636, 9.90, 548, 3650, 9.90, 548, 3650, 10.34
e_184, 131065, 1315170, 0.00, 129909, 1308043, 0.12, 121996, 1113877, 1.58, 100715, 746203, 20.72, 100723, 746277, 34.76, 100864, 748579, 48.77, 120965, 1094162, 54.43, 120969, 1094202, 60.26, 100830, 748022, 69.59, 121996, 1113865, 72.13, 121996, 1113860, 74.87, 121926, 1112703, 77.65, 121922, 1112652, 81.53
e_185, 4096, 62879, 0.00, 4090, 62825, 0.00, 4016, 56236, 0.04, 3764, 49129, 0.23, 3764, 49131, 0.38, 3765, 49184, 0.49, 3991, 55460, 0.55, 3991, 55460, 0.60, 3765, 49184, 0.69, 4016, 56236, 0.73, 4016, 56234, 0.78, 4016, 56214, 0.82, 4016, 56214, 0.88
